Date,Start,Facility,Home,Away
"Nov 6, 2018",9:00 PM,MFSSC - Bechtel Indoor Field 3,Hot Mess Express,Wycombe Wanderers
"Nov 6, 2018",9:00 PM,RIM - Indoor Field 3,Spirit of Mallory,INDY TEAM
"Nov 6, 2018",10:00 PM,RIM - Indoor Field 2,The Game of Throw-Ins,Red-Emption
"Nov 6, 2018",10:00 PM,RIM - Indoor Field 3,Barflies,ABCDE FC
"Nov 6, 2018",11:00 PM,MFSSC - Bechtel Indoor Field 3,Medicalis,FC Grit Grinders
"Nov 13, 2018",9:00 PM,MFSSC - Bechtel Indoor Field 3,Spirit of Mallory,FC Grit Grinders
"Nov 13, 2018",9:00 PM,RIM - Indoor Field 3,Hot Mess Express,Red-Emption
"Nov 13, 2018",10:00 PM,MFSSC - Bechtel Indoor Field 2,Medicalis,Barflies
"Nov 13, 2018",10:00 PM,RIM - Indoor Field 3,The Game of Throw-Ins,ABCDE FC
"Nov 13, 2018",11:00 PM,MFSSC - Bechtel Indoor Field 2,INDY TEAM,Wycombe Wanderers
"Nov 20, 2018",9:00 PM,MFSSC - Bechtel Indoor Field 3,Spirit of Mallory,Barflies
"Nov 20, 2018",9:00 PM,RIM - Indoor Field 3,INDY TEAM,FC Grit Grinders
"Nov 20, 2018",11:00 PM,MFSSC - Bechtel Indoor Field 2,ABCDE FC,Hot Mess Express
"Nov 20, 2018",11:00 PM,RIM - Indoor Field 1,Wycombe Wanderers,Red-Emption
"Nov 20, 2018",11:00 PM,RIM - Indoor Field 3,The Game of Throw-Ins,Medicalis
"Nov 27, 2018",9:00 PM,RIM - Indoor Field 3,Red-Emption,ABCDE FC
"Nov 27, 2018",10:00 PM,MFSSC - Bechtel Indoor Field 3,Spirit of Mallory,The Game of Throw-Ins
"Nov 27, 2018",10:00 PM,RIM - Indoor Field 2,INDY TEAM,Barflies
"Nov 27, 2018",10:00 PM,RIM - Indoor Field 3,FC Grit Grinders,Wycombe Wanderers
"Nov 27, 2018",11:00 PM,MFSSC - Bechtel Indoor Field 3,Hot Mess Express,Medicalis
"Dec 4, 2018",9:00 PM,MFSSC - Bechtel Indoor Field 3,Red-Emption,Medicalis
"Dec 4, 2018",9:00 PM,RIM - Indoor Field 3,FC Grit Grinders,Barflies
"Dec 4, 2018",10:00 PM,MFSSC - Bechtel Indoor Field 2,Wycombe Wanderers,ABCDE FC
"Dec 4, 2018",10:00 PM,MFSSC - Bechtel Indoor Field 3,INDY TEAM,The Game of Throw-Ins
"Dec 4, 2018",11:00 PM,RIM - Indoor Field 3,Hot Mess Express,Spirit of Mallory
"Dec 11, 2018",9:00 PM,MFSSC - Bechtel Indoor Field 3,FC Grit Grinders,The Game of Throw-Ins
"Dec 11, 2018",9:00 PM,RIM - Indoor Field 3,ABCDE FC,Medicalis
"Dec 11, 2018",10:00 PM,MFSSC - Bechtel Indoor Field 2,Red-Emption,Spirit of Mallory
"Dec 11, 2018",10:00 PM,MFSSC - Bechtel Indoor Field 3,INDY TEAM,Hot Mess Express
"Dec 11, 2018",11:00 PM,MFSSC - Bechtel Indoor Field 2,Barflies,Wycombe Wanderers
"Dec 18, 2018",9:00 PM,MFSSC - Bechtel Indoor Field 3,Wycombe Wanderers,Medicalis
"Dec 18, 2018",9:00 PM,RIM - Indoor Field 3,Barflies,The Game of Throw-Ins
"Dec 18, 2018",10:00 PM,RIM - Indoor Field 2,FC Grit Grinders,Hot Mess Express
"Dec 18, 2018",11:00 PM,MFSSC - Bechtel Indoor Field 2,ABCDE FC,Spirit of Mallory
"Dec 18, 2018",11:00 PM,RIM - Indoor Field 3,Red-Emption,INDY TEAM
"Jan 8, 2019",9:00 PM,MFSSC - Bechtel Indoor Field 3,The Game of Throw-Ins,Wycombe Wanderers
"Jan 8, 2019",9:00 PM,RIM - Indoor Field 3,Medicalis,Spirit of Mallory
"Jan 8, 2019",10:00 PM,MFSSC - Bechtel Indoor Field 1,ABCDE FC,INDY TEAM
"Jan 8, 2019",10:00 PM,RIM - Indoor Field 2,Barflies,Hot Mess Express
